GEOID,Total_HH,year,No_Vehicle_Avail,pct_no_veh_avail,No_Vehicle_Score,no_walkshed,Walkability_Score,Availability,pop_below_185,total_pop,pct_below_185,Access,obesity_crudeprev,chd_crudeprev,diabetes_crudeprev,obesity_norm,chd_norm,diabetes_norm,Utilization,HFPA,Priority.Area,Priority.Class
42003051000,781,2020,215,3.63255814,0.189900091,100,10,1.37804242,851,2079,0.409331409,4.298359512,34.8,5.5,11.4,5.220125786,2.619047619,4.085106383,4.051228613,9.727630544,Not Anomalous,0
42003140400,975,2020,14,69.64285714,5.392142668,98.68,9.868,7.294495449,195,2358,0.082697201,0.868397324,22.9,4.8,7,1.477987421,2.202380952,2.212765957,1.542067651,9.704960424,Not Anomalous,0
42003140300,1419,2020,98,14.47959184,1.044750037,72.05,7.205,2.743615136,443,3366,0.13161022,1.382029396,21.4,4.4,6.2,1.006289308,1.964285714,1.872340426,1.105140994,5.230785527,1 SD Below Mean,0
42003111300,1427,2020,332,4.298192771,0.242358463,95.97,9.597,1.525094807,704,2983,0.236004023,2.478261167,34.9,5.7,12.1,5.251572327,2.738095238,4.382978723,4.237764276,8.24112025,Not Anomalous,0
42003180300,930,2020,286,3.251748252,0.159888632,100,10,1.264470765,988,2131,0.463632098,4.86856711,36.6,7,11.9,5.786163522,3.511904762,4.29787234,4.746696189,10.87973406,Not Anomalous,0
42003191100,1334,2020,0,NA,NA,100,10,NA,407,2369,0.171802448,1.804085079,26,5.8,8.1,2.452830189,2.797619048,2.680851064,2.390013787,NA,Not Anomalous,0
42003191400,1536,2020,213,7.211267606,0.471936607,100,10,2.172410199,542,2553,0.212299256,2.229339124,27.5,5.7,7.9,2.924528302,2.738095238,2.595744681,2.526085129,6.927834452,Not Anomalous,0
42003202300,1882,2020,82,22.95121951,1.712395281,79.51,7.951,3.689885483,685,3960,0.172979798,1.816448342,24.4,5.7,7.7,1.949685535,2.738095238,2.510638298,2.085110351,7.591444177,Not Anomalous,0
42003281400,1163,2020,167,6.964071856,0.452455219,100,10,2.127099478,1249,2406,0.519118869,5.451229687,36.2,8.5,12.9,5.660377358,4.404761905,4.723404255,5.242859421,12.82118859,Not Anomalous,0
42003300100,1363,2020,352,3.872159091,0.208782936,92.26,9.226,1.387887377,1959,3771,0.519490851,5.45513584,38.7,7.6,13.6,6.446540881,3.869047619,5.021276596,5.470979784,12.314003,Not Anomalous,0
42003320400,904,2020,26,34.76923077,2.643767541,100,10,5.141758008,442,1814,0.243660419,2.558660429,29.8,8,10.5,3.647798742,4.107142857,3.70212766,3.856853194,11.55727163,Not Anomalous,0
42003261500,694,2020,48,14.45833333,1.043074664,78.87,7.887,2.868227654,1009,1861,0.542181623,5.693409991,38.7,6.9,14.2,6.446540881,3.452380952,5.276595745,5.403853748,13.96549139,1 SD Above Mean,1
42003260700,727,2020,23,31.60869565,2.394687161,100,10,4.893554088,144,1763,0.081678956,0.85770481,29.4,4.7,8.4,3.522012579,2.142857143,2.808510638,2.615537468,8.366796366,Not Anomalous,0
42003262000,1256,2020,98,12.81632653,0.913668831,100,10,3.022695537,948,2505,0.378443114,3.974003755,34.6,8.6,12.4,5.157232704,4.464285714,4.510638298,4.96978026,11.96647955,Not Anomalous,0
42003562600,1322,2020,73,18.10958904,1.330828517,100,10,3.648052244,1073,2624,0.408917683,4.294015001,35.3,7.5,11.8,5.377358491,3.80952381,4.255319149,4.68273548,12.62480272,Not Anomalous,0
42003562500,1000,2020,133,7.518796992,0.496172863,100,10,2.227493799,1698,2288,0.742132867,7.79308354,36.8,7,12.3,5.849056604,3.511904762,4.468085106,4.843676123,14.86425346,1 SD Above Mean,1
42003980700,0,2020,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Anomalous,0
42003101100,1217,2020,79,15.40506329,1.117686035,34.04,3.404,1.950539223,996,2635,0.377988615,3.969231094,28.6,4.8,7.6,3.270440252,2.202380952,2.468085106,2.394010213,8.31378053,Not Anomalous,0
42003050900,758,2020,274,2.766423358,0.121640391,100,10,1.102907025,1026,1264,0.811708861,8.523696015,48.2,10.7,21.9,9.433962264,5.714285714,8.553191489,8.950926276,18.57752932,1 SD Above Mean,1
